"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"Cfl1",0.000491862637714129,0.360030941369293,0.76,0.491,1
"Sub1",0.000492182650419206,0.467002705005742,0.8,0.522,1
"Tor1aip1",0.000493525965365353,-0.103386497263952,0.32,0.157,1
"Lsm14a",0.000496349507133377,0.486744050734301,0.32,0.122,1
"Tanc1",0.000496809730858642,0.360443748496043,0.34,0.137,1
"Ipo11",0.000498353070349253,0.308090939971287,0.26,0.076,1
"Abcb1a",0.000499921167179081,-0.0519638733128774,0.34,0.17,1
"Pafah1b1",0.000502206800313778,0.527861141230026,0.62,0.347,1
"Cpne3",0.000502306223615212,-0.159549161490501,0.42,0.248,1
"Sox18",0.000502714287492168,-0.527695821316383,0.38,0.349,1
"Pdzd11",0.000503964725240071,0.153822585842777,0.3,0.129,1
"Sec61b",0.000508649517979131,-0.236661950899192,0.52,0.372,1
"Ube2l3",0.000508980629067859,-0.142701577013326,0.32,0.165,1
"Sgce",0.000509489709749556,0.0876845204875092,0.38,0.213,1
"Mrpl35",0.000510094933117939,0.349560815973649,0.26,0.078,1
"Itch",0.000511803953504832,0.0625232770963144,0.28,0.109,1
"Sh3kbp1",0.000512327763806049,0.658834123468888,0.34,0.119,1
"Eif5b",0.000512378795884287,0.421119486827015,0.72,0.448,1
"Tapbp",0.000512702318856623,0.291982483998592,0.42,0.192,1
"Mtus1",0.000513303224308654,0.0631342803022301,0.36,0.165,1
"Aamp",0.00051490831111384,0.361753815805815,0.4,0.17,1
"Arf2",0.000515124307754739,-0.121192394976231,0.26,0.119,1
"Myo1c",0.000515223708038658,0.0790641121464538,0.34,0.167,1
"Wipi1",0.000515256220611281,-0.162246879794529,0.28,0.144,1
"Dpy30",0.000515739827821169,0.0631960833025461,0.32,0.137,1
"Sema7a",0.000518066786351006,0.124353172539964,0.34,0.154,1
"Rap1a",0.000519683336682242,-0.0799700069754639,0.48,0.309,1
"Cnot6l",0.000520162858866687,0.45045406620314,0.42,0.187,1
"Lmo4",0.000520358956689025,0.367404691577879,0.38,0.17,1
"Gtpbp4",0.000521151219558302,-0.256558659267045,0.28,0.159,1
"Huwe1",0.00052189896467909,0.101011731422887,0.32,0.137,1
"Aimp1",0.000522899672049315,0.163619906991129,0.34,0.144,1
"Klf7",0.000527604242290946,0.285466346133781,0.56,0.316,1
"Rilpl1",0.00052764969292117,-0.0236217618026545,0.26,0.101,1
"Hmgxb4",0.000528580970483796,0.506361102664228,0.26,0.073,1
"Eif1ax",0.000528840542755706,0.453403664666009,0.4,0.165,1
"Ndrg2",0.000529015429968484,0.803739083355349,0.32,0.104,1
"Ergic3",0.000531123513440025,0.0319846308358713,0.42,0.228,1
"Reep5",0.000531619202293498,0.0664137408175496,0.4,0.213,1
"Sec63",0.000532771537124616,0.490378744474237,0.48,0.228,1
"Fxr1",0.000533233375235651,0.112546889390513,0.4,0.205,1
"Smg6",0.0005332695778247,0.038914565564287,0.28,0.119,1
