"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"Emc10",1.79515795221534e-43,-0.158538112705691,0.361,0.171,4.48322746986258e-39
"Tbcb",1.81029990909592e-43,-0.237684137033576,0.432,0.24,4.52104299297615e-39
"Mrpl57",1.88336203824855e-43,-0.00947019697360196,0.448,0.195,4.70350835432193e-39
"Sh3bp5",1.97611929089936e-43,-0.470698135956736,0.326,0.193,4.93516031709205e-39
"Smim11",2.01871959637373e-43,-0.144422354299137,0.459,0.236,5.04155031998376e-39
"Tmem258",2.0219019270582e-43,-0.332108686895612,0.546,0.355,5.04949787263516e-39
"Lynx1",2.07517983835745e-43,0.587289938614432,0.296,0.024,5.18255412831389e-39
"Ncor1",2.09483410957385e-43,-0.638304806068637,0.425,0.338,5.23163870524972e-39
"Eif5a",2.24558666705775e-43,-0.0370828029411658,0.655,0.39,5.60812814231003e-39
"Ubxn4",2.27760502011839e-43,0.019388850932075,0.531,0.263,5.68809077724366e-39
"Tomm7",2.42330926445357e-43,-0.053593964202979,0.637,0.377,6.05197255704634e-39
"Mrpl24",2.43226389032171e-43,-0.334064211291927,0.337,0.186,6.07433583968945e-39
"Casz1",2.70246412392685e-43,0.453755459280677,0.279,0.03,6.74913390309492e-39
"Lamtor1",2.73475832096164e-43,0.251160709043905,0.482,0.191,6.82978543076959e-39
"Ostc",2.84461835518201e-43,-0.47696742880526,0.404,0.287,7.10414988023156e-39
"Rbbp6",2.86789948016128e-43,-0.71061870675263,0.348,0.274,7.16229216175477e-39
"Mrps33",2.92594285394715e-43,0.25289101583583,0.341,0.081,7.3072496834476e-39
"Gm6444",2.98568862836377e-43,0.418692533618752,0.323,0.054,7.45645878047568e-39
"Surf4",3.04557761464645e-43,-0.0647911082778633,0.36,0.156,7.60602553481806e-39
"Nop10",3.08365222416414e-43,0.0416946480389251,0.591,0.302,7.70111306462751e-39
"Cers4",3.10875936850058e-43,0.519562617785445,0.386,0.084,7.76381564689335e-39
"Clip1",3.15556559847531e-43,0.401585932602389,0.442,0.137,7.88070952563224e-39
"Uba3",3.31955395895738e-43,0.39544038351498,0.373,0.084,8.29025405710016e-39
"Pbxip1",3.3711575371898e-43,0.369749912396315,0.386,0.096,8.41912883337781e-39
"Srsf3",3.51958272055792e-43,-0.31281433767374,0.608,0.396,8.78980588632135e-39
"Oat",3.68604683804532e-43,0.0752594577386013,0.399,0.152,9.20553337333438e-39
