,gene name,influence score
293,C230029F24Rik,0.0
294,4933411E06Rik,0.0
295,Gm29665,0.0
296,Gm28321,0.0
297,Tmeff2,8.683656881600361e-05
298,Gm28322,8.683656881600361e-05
299,Gm28319,0.0002041254316672101
300,Gm29325,0.0006050756897425502
301,Cavin2,0.0010478060857233842
302,9330175M20Rik,0.0010478060857233842
303,1700072G22Rik,0.0017286229571281699
304,Nabp1,0.0017286229571281699
305,Gm17767,0.0019615117553499375
306,Gm28055,0.0008078758891946333
307,Myo1b,0.0008418040487690236
308,Stat4,0.0010045150674853828
309,Gm31812,0.001535952509226375
310,Stat1,0.001535952509226375
311,Gls,0.0022760636434262832
312,Nab1,0.0008032253846830626
313,Gm553,0.0007926966324104265
314,Gm28178,0.0017403368066879268
315,Nemp2,0.0012004132439066124
316,Mfsd6,0.0012004132439066124
317,Inpp1,0.0018254237775655886
318,Hibch,0.0018254237775655886
319,1700019D03Rik,2.82620122552725e-05
320,Mstn,2.82620122552725e-05
321,1700019A02Rik,0.00012818495094433144
322,Gm28777,0.00012818495094433144
323,Pms1,0.00446892933099293
324,Ormdl1,0.00454213667479453
325,Gm28778,0.00454213667479453
326,Osgepl1,0.00454213667479453
327,Asnsd1,0.00454213667479453
328,Gm28551,0.00454213667479453
329,Dnah7a,0.00010412282856515672
330,Stk17b,0.00037310845692653175
331,Hecw2,0.00029052782150618627
332,Ccdc150,0.0014274676640762447
333,Gtf3c3,0.0010138491790685435
334,Gm34066,0.000382797255164568
335,Pgap1,0.0007596821192786135
336,Ankrd44,0.0014750843229859065
337,4930444A19Rik,0.0010361766319872247
338,Sf3b1,0.003120396264574635
339,Coq10b,0.0042564829457216475
340,Hspd1,0.004174721996933766
341,Hspe1,0.004174721996933766
342,Mob4,0.0045913563265392345
343,Rftn2,0.003988917789111013
344,Gm10561,0.003988917789111013
345,Mars2,0.001902907660780814
346,Boll,0.00223913552317223
347,Plcl1,0.001547809641841102
348,9130227L01Rik,0.00032919493838358437
349,1700003I22Rik,6.014703339814597e-05
350,Gm28240,0.0
351,Hsfy2,0.0
352,Satb2,0.0008874859101131154
353,1700126A01Rik,2.2107824077074294e-05
354,BC055402,2.2107824077074294e-05
355,4930558J18Rik,0.001707251282438351
356,1700066M21Rik,0.001707251282438351
357,Tyw5,0.001707251282438351
358,Maip1,0.001707251282438351
359,Spats2l,0.0007874449626613751
360,Gm17234,0.0009529893044435778
361,Kctd18,0.0011149174742292104
362,Sgo2a,0.0010658023982884348
363,Aox1,0.0010658023982884348
364,Aox3,0.00047124473473248563
365,Aox4,0.0002967848266551096
366,Aox2,0.00030039922007772045
367,Gm15759,0.0014750156152306328
368,Bzw1,0.002365466850068679
369,Clk1,0.002153725302469802
370,Ppil3,0.002153725302469802
371,Nif3l1,0.002153725302469802
372,Orc2,0.002065067629990959
373,Gm15834,0.0012858192971282678
374,Fam126b,0.0006122474376389531
375,Ndufb3,0.0006122474376389531
376,Als2cr12,0.0013533989832154325
377,Cflar,0.002050132734921544
378,Casp8,0.0018094303965694443
379,Trak2,0.0019828381193443736
380,Stradb,0.0019390167523936374
381,C2cd6b,0.0019390167523936374
382,Gm29018,0.0019390167523936374
383,C2cd6,0.00021025079291664393
384,Tmem237,0.00021025079291664393
385,G730003C15Rik,0.00021025079291664393
386,Mpp4,0.000533219834302295
387,Gm29017,0.0006088948997863122
388,Als2,0.0007077688206384157
389,Cdk15,0.0004975180277217719
390,Gm29016,9.887392085210354e-05
391,Fzd7,0.0007811979685296989
392,Gm26813,0.0007811979685296989
393,Gm973,0.0008692229910763688
394,1700122D07Rik,0.0008692229910763688
395,Gm28411,0.0008692229910763688
396,Sumo1,0.0020290712160617357
397,Nop58,0.0020591838525868098
398,Bmpr2,0.002154383823640153
399,Fam117b,0.0008119471199871764
400,Ica1l,0.0007850471969010227
401,Wdr12,0.0014235171751756487
402,Carf,0.0014512616505822978
403,Nbeal1,0.0012601804076150004
404,Cyp20a1,0.0015435953108898918
405,Abi2,0.0016303900103890416
406,Raph1,0.0031169704430910766
407,Cd28,0.00143392825708152
408,2310016D23Rik,0.0009733491817605475
409,Gm11579,0.0009733491817605475
410,Ctla4,0.0008083106731452096
411,Icos,0.000781527841552432
412,Gm28083,0.0004925669479852213
413,Gm11587,0.0007920351879598574
414,9530026F06Rik,0.0006284538545201096
415,Gm11588,0.0005190921268576503
416,Gm28449,5.578831995446783e-05
417,4930587A21Rik,0.0
418,Pard3b,0.0
419,Pard3bos1,0.00017434993892196721
420,Pard3bos2,9.289118044824227e-05
421,Pard3bos3,0.0002039944308219862
422,Gm29084,0.00012489947850185507
423,Nrp2,0.0018911998109996107
424,Gm29083,0.0018911998109996107
425,Gm4208,0.0008121804225791581
426,Ino80d,0.0023139677373305014
427,Ino80dos,0.0029502244281431433
428,Gm20342,0.0029850921281146855
429,Ndufs1,0.0030098042876204427
430,Eef1b2,0.0034222695714429814
431,Gpr1,0.0019107190618442515
432,Gm11608,0.0016714536838375012
433,Zdbf2,0.0016714536838375012
434,Adam23,0.0002949787413827524
435,Gm39653,0.0001122272325614656
436,Dytn,0.0003489049535804196
437,Mdh1b,0.00023667772101895398
438,Fastkd2,0.00023667772101895398
439,4933402D24Rik,0.00023667772101895398
440,Gm13749,0.0014132242589700837
441,Gm26649,0.0031661945290880227
442,Gm13748,0.002959536729417116
443,Klf7,0.002980298495587585
444,Gm28981,0.0017616550715110434
445,Creb1,0.003317180391232216
446,Mettl21a,0.0032876101763376847
447,Gm28982,0.003062786799490013
448,Gm29152,0.0025287339433330055
449,Ccnyl1,0.002529496200948623
450,Fzd5,0.0032382885746961377
451,Plekhm3,0.0016925101538009983
452,Akr1cl,0.0005647953949448666
453,Cryge,0.0003202923633630684
454,Crygd,0.0003202923633630684
455,Crygc,0.0002945403114763627
456,Crygb,0.0002945403114763627
457,Cryga,0.0006260898437289849
458,Gm28845,0.0006260898437289849
459,D630023F18Rik,0.0006260898437289849
460,Idh1,0.0005233711899546507
461,Pikfyve,0.0005233711899546507
462,Pth2r,0.00033154953225262223
463,Crygf,0.0003643365901158649
464,Map2,0.0003064112623921733
465,Gm10558,0.0
466,Unc80,0.0
467,Rpe,0.0009927948008325764
468,Kansl1l,0.002734687110177203
469,Acadl,0.0028338562336058318
470,Myl1,0.002171589152180833
471,Lancl1,0.0006851931710055335
472,Cps1,0.0004608328112961644
473,Gm15668,0.0
474,Gm15669,0.0
475,Gm15671,0.0
476,Erbb4,0.0
477,Gm28497,0.0
478,Gm29113,0.0
479,Gm29114,0.0
480,Ikzf2,0.0003588133771270562
481,Spag16,0.0
482,Vwc2l,0.0001509302267516253
483,Bard1,0.000595131553452134
484,Abca12,0.0003024200003891341
485,Atic,0.0006811043747131076
486,Fn1,0.000757964040669711
487,Apol7d,0.000794161463582594
488,Gm8883,0.0003038171127114863
489,Gm28818,0.0003038171127114863
490,4933417E11Rik,0.00026421229420260764
491,4930556G22Rik,0.00027506873728444785
492,Gm4319,0.00043382550124099434
493,Mreg,0.0034339376449199362
494,D230017M19Rik,0.0034339376449199362
495,Pecr,0.0036309891447666113
496,Tmem169,0.0036309891447666113
497,Xrcc5,0.0036309891447666113
498,March4,0.0011432852490792032
499,Smarcal1,0.0012429102528272312
500,Gm39662,0.002328702937577167
501,Ankar,0.0016212997998542012
502,Rpl37a,0.0016212997998542012
503,Igfbp2,0.0016879380733431633
504,Igfbp5,0.0013536654690543006
505,1700027A15Rik,0.0007245516356741324
506,Tnp1,0.0005638445411550896
507,Gm29185,0.0011360303123309162
508,D530049I02Rik,0.0007502390705638967
509,Pinc,0.0007502390705638967
510,C530043A13Rik,0.0
511,Gm29186,0.0
512,6030407O03Rik,0.0012663702076646396
513,Gm29183,0.006422482281228421
514,Tns1,0.019913299380397514
515,Rufy4,0.005271357287168122
516,Cxcr2,0.006507644373127782
517,Cxcr1,0.007993752837840956
518,Arpc2,0.00929393496851788
519,Gpbar1,0.010483528083746472
520,Gm28364,0.010483528083746472
521,Aamp,0.010483528083746472
522,Pnkd,0.010483528083746472
523,Tmbim1,0.010833523571987106
524,Catip,0.011697982411580527
525,Slc11a1,0.011602105010666441
526,Ctdsp1,0.008534787222465859
527,Vil1,0.00629966953812025
528,Usp37,0.003823486514584965
529,Cnot9,0.0014179626936541968
530,Plcd4,0.0010969205285213466
531,Zfp142,0.002352555691347904
532,Bcs1l,0.002352555691347904
533,Rnf25,0.002352555691347904
534,Stk36,0.0024879556932738247
535,Ttll4,0.003632562858780882
536,Cyp27a1,0.004899254512635325
537,Prkag3,0.0050059204923462485
538,Wnt6,0.004269102031187466
539,Gm29539,0.003948642554594933
540,Wnt10a,0.004077981199832152
541,Cdk5r2,0.0027538458494385637
542,Fev,0.002357505327154261
543,Cryba2,0.0020015672024048916
544,Gm15841,0.0020015672024048916
545,Cfap65,0.0008054305702978189
546,Ihh,0.0008054305702978189
547,Nhej1,0.0017202725880915198
548,Slc23a3,0.005095917097272118
549,Cnppd1,0.006562993398916507
550,Retreg2,0.007114658739811725
551,Zfand2b,0.008575202880028237
552,Abcb6,0.008575202880028237
553,Atg9a,0.008683535405334113
554,Ankzf1,0.008839128602908542
555,Glb1l,0.008901414309735674
556,Stk16,0.008901414309735674
557,Tuba4a,0.00892440949537999
558,A630095N17Rik,0.010287336946307572
559,Dnajb2,0.009920962154540044
560,Gm28294,0.009829630323325393
561,Ptprn,0.009944357710156379
562,Gm28902,0.011749910741382149
563,Resp18,0.011749910741382149
564,Dnpep,0.013896537760773224
565,Des,0.011824825338649689
566,Gm15179,0.011736641624847246
567,Speg,0.011736641624847246
568,Gm15178,0.013918720039460772
569,Gmppa,0.015860036574814197
570,Asic4,0.015002083525879097
571,Chpf,0.01391076964491997
572,Tmem198,0.012700180764424517
573,Obsl1,0.012700180764424517
574,Inha,0.010502380823879793
575,Stk11ip,0.01072297519419167
576,Slc4a3,0.009859297437680523
577,Gm29065,0.00221042570734745
578,Gm29069,0.0
579,Gm17751,0.0
580,Gm816,0.0
581,Epha4,0.00027144733955522803
582,Gm28386,0.0003606030748924474
583,Gm28387,0.0004061481980231985
584,Pax3,9.274857261028669e-05
585,Sgpp2,0.0004909359423402838
586,Gm28410,0.0004941075566480278
587,Farsb,0.0016449652478936023
588,BC035947,0.0016449652478936023
589,Mogat1,0.0016449652478936023
590,5730419F03Rik,0.0007603221473592535
591,Gm29611,0.0007603221473592535
592,Acsl3,0.0004572531993483845
593,Utp14b,0.0004572531993483845
594,Kcne4,0.000569154356739857
595,Gm29187,0.000569154356739857
596,Gm29536,0.0
597,Scg2,0.0
598,Ap1s3,0.0008829358643078265
599,Wdfy1,0.0015769379829143034
600,Mrpl44,0.0019178028646838952
601,Serpine2,0.0017547779260116013
602,9830004L10Rik,0.00041443375989242163
603,Fam124b,0.00041443375989242163
604,2310015K22Rik,0.00041443375989242163
